ScripCode,ScripId,BSE Exclusive,Status,GroupName,GSM,Unsolicited_SMS,Long_Term_Additional_Surveillance_Measure (Long Term ASM),Insolvency_Resolution_Process(IRP),Short_Term_Additional_Surveillance_Measure (Short Term ASM),Default,ICA,Pledge
543332,MFL,N,A,B,100,100,1,100,100,100,100,100
543331,MOL,N,A,B,100,100,100,100,100,100,100,100
543330,DEVYANI,N,A,B,100,100,100,100,100,100,100,100
543329,WINDLAS,N,A,B,100,100,100,100,100,100,100,100
543328,KRSNAA,N,A,B,100,100,100,100,100,100,100,100
543327,EXXARO,N,A,B,100,100,100,100,100,100,100,100
543325,ROLEXRINGS,N,A,B,100,100,100,100,100,100,100,100
543324,GCSL,Y,A,M,100,100,100,100,100,100,100,100
543322,GLS,N,A,B,100,100,100,100,100,100,100,100
543321,TATVA,N,A,B,100,100,100,100,100,100,100,100
543320,ZOMATO,N,A,B,100,100,100,100,100,100,100,100
543319,AAPLUSTRAD,Y,A,M,100,100,100,100,100,100,100,100
543318,CLEAN,N,A,B,100,100,100,100,100,100,100,100
543317,GRINFRA,N,A,B,100,100,100,100,100,100,100,100
543312,FOCUS,Y,A,M,100,100,100,100,100,100,100,100
543311,IPL,N,A,B,100,100,100,100,100,100,100,100
543310,TIMESGREEN,Y,A,M,100,100,100,100,100,100,100,100
543309,ADESHWAR,Y,A,M,100,100,1,100,100,100,100,100
543308,KIMS,N,A,B,100,100,100,100,100,100,100,100
543306,DODLA,N,A,B,100,100,100,100,100,100,100,100
543305,NAVODAYENT,Y,A,M,100,100,100,100,100,100,100,100
543300,SONACOMS,N,A,B,100,100,100,100,100,100,100,100
543299,SHYAMMETL,N,A,B,100,100,100,100,100,100,100,100
543298,VINEETLAB,N,A,B,100,100,100,100,100,100,100,100
543297,IWEL,N,A,T,100,100,4,100,100,100,100,100
543290,PGINVIT,N,A,IF,100,100,100,100,100,100,100,100
543289,KGES,Y,A,MS,100,100,100,100,100,100,100,100
543288,DEEPIND,N,A,B,100,100,100,100,100,100,100,100
543287,LODHA,N,A,B,100,100,100,100,100,100,100,1
543286,JETMALL,Y,A,M,100,100,100,100,100,100,100,100
543285,RCAN,Y,A,M,100,100,100,100,100,100,100,100
543284,EKI,Y,A,M,100,100,1,100,100,100,100,100
543283,BARBEQUE,N,A,B,100,100,100,100,1,100,100,100
543282,NIKSTECH,Y,A,MS,100,100,100,100,100,100,100,100
543281,SUVIDHAA,N,A,B,100,100,100,100,100,100,100,100
543280,NAZARA,N,A,T,100,100,100,100,100,100,100,100
543279,SURYODAY,N,A,B,100,100,100,100,100,100,100,100
543278,KALYANKJIL,N,A,B,100,100,100,100,100,100,100,100
543277,LXCHEM,N,A,B,100,100,1,100,100,100,100,100
543276,CRAFTSMAN,N,A,B,100,100,100,100,100,100,100,100
543275,ANURAS,N,A,B,100,100,100,100,100,100,100,100
543274,SUUMAYA,Y,A,M,100,100,100,100,100,100,100,100
543273,KMEW,Y,A,M,100,100,100,100,100,100,100,100
543272,EASEMYTRIP,N,A,T,100,100,100,100,100,100,100,100
543271,JUBLINGREA,N,A,B,100,100,100,100,100,100,100,100
543270,MTARTECH,N,A,B,100,100,100,100,100,100,100,100
543269,ADJIA,Y,A,MS,100,100,100,100,100,100,100,100
543268,DRCSYSTEMS,N,A,T,2,100,100,100,100,100,100,100
543267,DAVANGERE,Y,A,XT,100,100,100,100,100,100,100,100
543266,HERANBA,N,A,B,100,100,100,100,100,100,100,100
543265,RAILTEL,N,A,B,100,100,100,100,100,100,100,100
543264,NURECA,N,A,B,100,100,100,100,100,100,100,100
543263,SMCGLOBAL,N,A,B,100,100,100,100,100,100,100,100
543262,MRP,Y,A,M,100,100,1,100,100,100,100,100
543261,BIRET,N,A,IF,100,100,100,100,100,100,100,100
543260,STOVEKRAFT,N,A,B,100,100,100,100,100,100,100,100
543259,HOMEFIRST,N,A,B,100,100,100,100,100,100,100,100
543258,INDIGOPNTS,N,A,B,100,100,100,100,100,100,100,100
543257,IRFC,N,A,B,100,100,100,100,100,100,100,100
543256,RFLL,Y,A,XT,100,100,100,100,100,100,100,100
543254,AWHCL,N,A,B,100,100,100,100,100,100,100,100
543253,BECTORFOOD,N,A,B,100,100,100,100,100,100,100,100
543252,FAIRCHEMOR,N,A,B,100,100,100,100,100,100,100,100
543251,RVHL,N,A,B,100,100,1,100,100,100,100,100
543249,TARC,N,A,B,100,100,100,100,100,100,100,100
543248,BURGERKING,N,A,B,100,100,100,100,100,100,100,100
543247,NETPIX,Y,A,MS,100,100,100,100,100,100,100,100
543245,GLAND,N,A,B,100,100,100,100,100,100,100,100
543244,SHINEFASH,Y,A,M,100,100,100,100,100,100,100,100
543243,EQUITASBNK,N,A,B,100,100,100,100,100,100,100,100
543242,HEMIPROP,N,A,B,100,100,100,100,100,100,100,100
543241,VGIL,Y,A,M,100,100,2,100,100,100,100,100
543240,LIKHITHA,N,A,B,100,100,100,100,100,100,100,100
543239,GMPL,Y,A,M,100,100,100,100,100,100,100,100
543238,UTIAMC,N,A,B,100,100,100,100,100,100,100,100
543237,MAZDOCK,N,A,B,100,100,100,100,100,100,100,100
543236,ATAM,Y,A,M,100,100,100,100,100,100,100,100
543235,ANGELBRKG,N,A,B,100,100,100,100,100,100,100,100
543234,SECMARK,Y,A,M,100,100,1,100,100,100,100,100
543233,CHEMCON,N,A,B,100,100,100,100,100,100,100,100
543232,CAMS,N,A,B,100,100,1,100,100,100,100,100
543231,ADL,N,A,T,100,100,100,100,100,100,100,100
543230,ADVAIT,Y,A,M,100,100,100,100,100,100,100,100
543229,SAMRATFORG,Y,A,X,100,100,1,100,100,100,100,100
543228,ROUTE,N,A,B,100,100,1,100,100,100,100,100
543227,HAPPSTMNDS,N,A,T,100,100,4,100,100,100,100,100
543225,TOWERINFRA,Y,A,IF,100,100,100,100,100,100,100,100
543223,MAXINDIA,N,A,B,100,100,100,100,100,100,100,100
543222,HIPPOCABS,Y,S,TS,100,100,100,100,100,100,100,100
543220,MAXHEALTH,N,A,B,100,100,1,100,100,100,100,100
543218,SBGLP,Y,A,M,100,100,100,100,100,100,100,100
543217,MINDSPACE,N,A,IF,100,100,100,100,100,100,100,100
543214,NDRAUTO,N,A,B,100,100,100,100,100,100,100,100
543213,ROSSARI,N,A,B,100,100,100,100,100,100,100,100
543212,BOROLTD,N,A,B,100,100,100,100,100,100,100,100
543211,BONLON,Y,A,M,100,100,100,100,100,100,100,100
543210,AARTISURF,N,A,B,100,100,100,100,100,100,100,100
543209,BILLWIN,Y,A,M,100,100,1,100,100,100,100,100
543208,BHARTIA,Y,A,XT,100,100,100,100,100,100,100,100
543207,NATURAL,Y,A,X,0,100,100,100,100,100,100,100
543194,NIRMITEE,Y,A,MS,100,100,100,100,100,100,100,100
543193,DJML,Y,A,M,100,100,1,100,100,100,100,100
543187,POWERINDIA,N,A,A,100,100,100,100,100,100,100,100
543172,COSPOWER,Y,A,M,100,100,100,100,100,100,100,100
543171,ROJL,Y,A,M,100,100,100,100,100,100,100,100
543066,SBICARD,N,A,A,100,100,100,100,100,100,100,100
543065,SMAUTO,Y,A,M,100,100,100,100,100,100,100,100
543064,SUVENPHAR,N,A,A,100,100,100,100,100,100,100,100
542938,OCTAVIUSPL,Y,A,X,100,100,100,100,100,100,100,100
542935,ICLORGANIC,Y,A,M,100,100,100,100,100,100,100,100
542934,CBPL,Y,A,M,100,100,1,100,100,100,100,100
542933,UNIVPHOTO,N,A,B,100,100,100,100,100,100,100,100
542932,BIRLATYRES,N,A,B,100,100,100,100,100,100,100,100
542931,VARDHANCFL,Y,A,XT,100,100,100,100,100,100,100,100
542924,JANUSCORP,Y,A,M,100,100,100,100,100,100,100,100
542923,TRANWAY,Y,A,MS,100,100,100,100,100,100,100,100
542920,SUMICHEM,N,A,A,100,100,100,100,100,100,100,100
542919,ARTEMISMED,N,A,B,100,100,100,100,100,100,100,100
542918,GIANLIFE,Y,A,M,100,100,100,100,100,100,100,100
542911,ASSAMENT,Y,A,XT,100,100,100,100,100,100,100,100
542910,VALENCIA,Y,A,MS,100,100,100,100,100,100,100,100
542907,PRINCEPIPE,N,A,A,100,100,1,100,100,100,100,100
542906,EASUN,Y,A,XT,100,100,100,100,100,100,100,100
542905,SHIL,N,A,T,100,100,4,100,100,100,100,100
542904,UJJIVANSFB,N,A,A,100,100,100,100,100,100,100,100
542867,CSBBANK,N,A,A,100,100,100,100,100,100,100,100
542866,JSGLEASING,Y,A,XT,0,100,100,100,100,100,100,100
542865,ANUROOP,Y,A,M,100,100,100,100,100,100,100,100
542864,MOUNT,Y,A,XT,100,100,100,100,100,100,100,100
542862,SHAHLON,Y,A,X,100,100,100,100,100,100,100,100
542857,GREENPANEL,N,A,B,100,100,100,100,100,100,100,100
542852,VISHWARAJ,N,A,B,100,100,100,100,100,100,100,100
542851,GENSOL,Y,A,M,100,100,100,100,100,100,100,100
542850,GOBLIN,Y,A,M,100,100,2,100,100,100,100,100
542830,IRCTC,N,A,A,100,100,100,100,100,100,100,100
542812,FLUOROCHEM,N,A,A,100,100,1,100,100,100,100,100
542803,ELLORATRAD,Y,A,XT,0,100,100,100,100,100,100,100
542802,GALACTICO,Y,A,M,100,100,100,100,100,100,100,100
542801,MISQUITA,Y,A,M,100,100,100,100,100,100,100,100
542774,APMFINVEST,Y,A,X,100,100,100,100,100,100,100,100
542773,IIFLSEC,N,A,A,100,100,100,100,100,100,100,100
542772,IIFLWAM,N,A,A,100,100,100,100,100,100,100,100
542771,NOVATEOR,Y,A,M,100,100,1,100,100,100,100,100
542770,ALPHALOGIC,Y,A,MS,100,100,100,100,100,100,100,100
542765,TRANSPACT,Y,A,MS,100,100,100,100,100,100,100,100
542760,SWSOLAR,N,A,A,100,100,100,100,100,100,100,1
542759,SPANDANA,N,A,A,100,100,100,100,100,100,100,100
542753,SEACOAST,Y,A,X,100,100,100,100,100,100,100,100
542752,AFFLE,N,A,A,100,100,100,100,100,100,100,100
542729,DCMNVL,N,A,B,100,100,100,100,100,100,100,100
542728,SKIEL,Y,A,M,100,100,100,100,100,100,100,100
542727,CPML,Y,A,MT,100,100,100,100,100,100,100,100
542726,INDIAMART,N,A,A,100,100,100,100,100,100,100,100
542725,SBC,Y,A,M,100,100,100,100,100,100,100,100
542724,EARUM,Y,A,B,100,100,1,100,100,100,100,100
542721,ARL,Y,A,B,100,100,2,100,100,100,100,100
542694,PARSHVA,Y,A,M,100,100,1,100,100,100,100,100
542685,DGCONTENT,N,A,B,0,100,100,100,100,100,100,100
542684,PPL,N,A,B,100,100,100,100,100,100,100,100
542683,SUICH,Y,S,MT,100,100,100,100,100,100,100,100
542682,HARISH,Y,A,XT,100,100,100,100,100,100,100,100
542679,DEL,Y,A,X,100,100,100,100,100,100,100,100
542678,CHCL,Y,A,M,100,100,100,100,100,100,100,100
542677,MAHESH,Y,A,XT,1,100,100,100,100,100,100,100
542670,AEPL,Y,A,B,100,100,1,100,100,100,100,100
542669,BMW,Y,A,X,100,100,100,100,100,100,100,100
542668,EVANS,Y,A,M,100,100,100,100,100,100,100,100
542667,WORL,Y,A,B,100,100,100,100,1,100,100,100
542666,GKP,Y,A,M,100,100,1,100,100,100,100,100
542665,NEOGEN,N,A,A,100,100,100,100,100,100,100,100
542655,VIKASLIFE,N,A,B,100,100,1,100,100,100,100,100
542654,VRFILMS,Y,A,M,100,100,100,100,100,100,100,100
542653,JINAAM,Y,S,MT,100,100,100,100,100,100,100,100
542652,POLYCAB,N,A,A,100,100,100,100,100,100,100,100
542651,KPITTECH,N,A,A,100,100,1,100,100,100,100,100
542650,METROPOLIS,N,A,A,100,100,100,100,100,100,100,100
542649,RVNL,N,A,A,100,100,100,100,100,100,100,100
542641,CKFSL,N,S,Z,100,100,100,100,100,100,100,100
542628,NSL,Y,A,M,100,100,100,100,100,100,100,100
542627,CHANDNIMACH,Y,A,X,100,100,100,100,1,100,100,100
542602,EMBASSY,N,A,IF,100,100,100,100,100,100,100,100
542599,ROOPSHRI,Y,A,M,100,100,100,100,100,100,100,100
542597,MSTC,N,A,A,100,100,100,100,100,100,100,100
542592,HBEL,Y,A,M,100,100,100,100,100,100,100,100
542580,AARTECH,Y,A,M,100,100,1,100,100,100,100,100
542579,AGOL,Y,A,B,100,100,100,100,1,100,100,100
542544,JYOTIN,Y,A,XT,100,100,100,100,100,100,100,100
542543,INFRATRUST,Y,A,IF,100,100,100,100,100,100,100,100
542524,AIHL,Y,A,XT,1,100,100,100,100,100,100,100
542503,MAHIP,Y,S,M,100,100,100,100,100,100,100,100
542484,ARVINDFASN,N,A,A,100,100,1,100,100,100,100,100
542477,GLEAM,Y,S,M,100,100,100,100,100,100,100,100
542460,ANUP,N,A,B,100,100,100,100,100,100,100,100
542459,KRANTI,Y,A,B,100,100,100,100,100,100,100,100
542446,JONJUA,Y,A,M,100,100,100,100,100,100,100,100
542437,ANMOL,N,A,B,100,100,100,100,100,100,100,100
542399,CHALET,N,A,A,100,100,100,100,100,100,100,100
542383,RITCO,Y,A,M,100,100,100,100,100,100,100,100
542377,AARSHYAM,Y,A,XT,100,100,100,100,100,100,100,100
542376,SPACAPS,Y,A,XT,100,100,100,100,100,100,100,100
542367,XELPMOC,N,A,B,100,100,100,100,100,100,100,100
542351,GLOSTERLTD,Y,A,X,100,100,100,100,100,100,100,100
542337,SPENCER,N,A,A,100,100,100,100,100,100,100,100
542333,RPSGVENT,N,A,A,100,100,1,100,100,100,100,100
542332,HIKLASS,Y,A,XT,0,100,100,100,100,100,100,100
542323,KPIGLOBAL,N,A,B,100,100,100,100,100,100,100,100
542285,AXITA,Y,A,M,100,100,100,100,100,100,100,100
542248,DECCAN,Y,A,M,100,100,100,100,100,100,100,100
542233,TREJHARA,N,A,B,100,100,100,100,100,100,100,100
542232,SRD,Y,A,T,100,100,100,100,100,100,100,100
542231,NILASPACES,N,A,B,100,100,100,100,100,100,100,100
542216,DALBHARAT,N,A,A,100,100,100,100,100,100,100,100
542206,NIVAKA,Y,A,XT,100,100,100,100,100,100,100,100
542176,ARYAN,Y,A,XT,100,100,100,100,100,100,100,100
542155,DGL,Y,A,M,100,100,100,100,100,100,100,100
542146,SKIFL,Y,A,M,100,100,100,100,100,100,100,100
542145,RONI,Y,A,M,100,100,1,100,100,100,100,100
542141,TECHNOE,N,A,A,100,100,100,100,100,100,100,100
542123,PHOSPHATE,Y,A,XT,100,100,100,100,100,100,100,100
542117,NETRIPPLES,Y,A,XT,0,100,100,100,100,100,100,100
542066,ATGL,N,A,T,100,100,4,100,100,100,100,100
542057,BCPL,Y,A,B,100,100,100,100,100,100,100,100
542046,VIVIDM,Y,A,M,100,100,100,100,100,100,100,100
542034,SMGOLD,Y,A,B,100,100,100,100,100,100,100,100
542025,SUNRETAIL,Y,A,M,100,100,1,100,100,100,100,100
542020,AKI,Y,A,M,100,100,100,100,100,100,100,100
542019,SHUBHAM,Y,A,B,100,100,1,100,100,100,100,100
542013,DOLFIN,Y,A,M,100,100,100,100,100,100,100,100
542012,AAL,Y,A,M,100,100,1,100,100,100,100,100
542011,GRSE,N,A,A,100,100,100,100,100,100,100,100
542002,DCL,Y,A,M,100,100,100,100,100,100,100,100
541999,GENERAAGRI,Y,A,X,100,100,100,100,100,100,100,100
541988,AAVAS,N,A,A,100,100,100,100,100,100,100,100
541983,INNOVATIVE,Y,A,M,100,100,100,100,100,100,100,100
541974,MANORAMA,Y,A,B,100,100,100,100,100,100,100,100
541973,MACH,Y,A,M,100,100,1,100,100,100,100,100
541967,SKYGOLD,Y,A,M,100,100,100,100,100,100,100,100
541956,IRCON,N,A,A,100,100,100,100,100,100,100,100
541945,RANJEET,Y,A,M,100,100,100,100,100,100,100,100
541929,SGIL,N,A,B,100,100,100,100,100,100,100,100
541890,SPACEINCUBA,Y,A,X,100,100,100,100,100,100,100,100
541865,ASRL,Y,A,B,100,100,100,100,100,100,100,100
541799,SMEL,Y,A,M,100,100,100,100,100,100,100,100
541778,DEEP,Y,A,T,100,100,100,100,100,100,100,100
541771,AMINTAN,Y,A,X,100,100,100,100,100,100,100,100
541770,CREDITACC,N,A,A,100,100,100,100,100,100,100,100
541741,TINNATFL,Y,A,X,100,100,100,100,100,100,100,100
541735,VIVANTA,Y,A,X,100,100,100,100,100,100,100,100
541729,HDFCAMC,N,A,A,100,100,100,100,100,100,100,100
541703,GFIL,Y,A,M,100,100,100,100,100,100,100,100
541702,ASHNI,Y,A,XT,0,100,100,100,100,100,100,100
541701,SUPERSHAKT,Y,A,M,100,100,100,100,100,100,100,100
541700,TCNSBRANDS,N,A,A,100,100,100,100,100,100,100,100
541634,RAWEDGE,Y,A,B,100,100,100,100,1,100,100,100
541633,STRAEXPO,Y,A,XT,0,100,100,100,100,100,100,100
541627,HITECHWIND,Y,A,XT,0,100,100,100,100,100,100,100
541601,RAJNISH,Y,A,MT,100,100,100,100,100,100,100,100
541578,VARROC,N,A,A,100,100,100,100,100,100,100,100
541557,FINEORG,N,A,A,100,100,100,100,100,100,100,100
541556,RITES,N,A,A,100,100,100,100,100,100,100,100
541546,GAYAHWS,N,A,T,2,100,100,100,100,100,100,100
541545,TALWGYM,N,S,Z,100,100,100,0,100,100,100,100
541540,SOLARA,N,A,A,100,100,100,100,100,100,100,100
541503,UNICK,Y,A,XT,100,100,100,100,100,100,100,100
541450,ADANIGREEN,N,A,A,100,100,100,100,100,100,100,100
541445,WAA,Y,A,M,100,100,100,100,100,100,100,100
541444,PALMJEWELS,Y,A,B,100,100,100,100,100,100,100,100
541418,NGIL,N,A,T,100,100,100,100,100,100,100,100
541403,DOLLAR,N,A,A,100,100,1,100,100,100,100,100
541402,AFFORDABLE,Y,A,M,100,100,1,100,100,100,100,100
541401,ARIHANTINS,Y,S,MT,100,100,100,100,100,100,100,100
541400,ZIMLAB,Y,A,X,100,100,100,100,100,100,100,100
541358,SHWL,Y,A,XT,100,100,100,100,100,100,100,100
541353,INNOVATORS,Y,A,M,100,100,1,100,100,100,100,100
541352,MEGASTAR,Y,A,M,100,100,100,100,100,100,100,100
541347,PARVATI,Y,A,X,100,100,100,100,1,100,100,100
541338,UHZAVERI,Y,A,M,100,100,100,100,100,100,100,100
541337,MILEFUR,Y,A,M,100,100,100,100,100,100,100,100
541336,INDOSTAR,N,A,A,100,100,100,100,100,100,100,100
541304,INDOUS,Y,A,M,100,100,100,100,100,100,100,100
541303,AKSHAR,Y,A,M,100,100,1,100,100,100,100,100
541302,DHRUV,Y,A,M,100,100,100,100,100,100,100,100
541301,ORIENTELEC,N,A,A,100,100,100,100,100,100,100,100
541300,INDINFR,N,A,IF,100,100,100,100,100,100,100,100
541299,DLCL,Y,A,M,100,100,100,100,100,100,100,100
541276,HARDWYN,Y,A,M,100,100,1,100,100,100,100,100
541269,CHEMFABALKA,N,A,B,100,100,100,100,100,100,100,100
541233,LEMONTREE,N,A,A,100,100,100,100,100,100,100,100
541228,TRL,Y,A,M,100,100,1,100,100,100,100,100
541206,OBCL,Y,A,M,100,100,1,100,100,100,100,100
541196,LEX,Y,A,M,100,100,100,100,100,100,100,100
541195,MIDHANI,N,A,A,100,100,100,100,100,100,100,100
541179,ISEC,N,A,A,100,100,100,100,100,100,100,100
541178,BENARA,Y,A,M,100,100,100,100,100,100,100,100
541167,YASHO,Y,A,B,100,100,1,100,100,100,100,100
541163,SANDHAR,N,A,B,100,100,100,100,100,100,100,100
541161,KARDA,N,A,B,100,100,100,100,100,100,100,100
541154,HAL,N,A,A,100,100,100,100,100,100,100,100
541153,BANDHANBNK,N,A,A,100,100,100,100,100,100,100,100
541152,GOYALALUM,Y,A,M,100,100,1,100,100,100,100,100
541151,RIDINGS,Y,A,M,100,100,1,100,100,100,100,100
541144,ACTIVE,Y,A,M,100,100,100,100,100,100,100,100
541143,BDL,N,A,A,100,100,100,100,100,100,100,100
541133,ACFL,Y,A,XT,100,100,100,100,100,100,100,100
541112,SHREESHAY,Y,A,M,100,100,100,100,100,100,100,100
541096,BPLPHARMA,Y,A,XT,100,100,100,100,100,100,100,100
541083,INFLAME,Y,A,M,100,100,100,100,100,100,100,100
541053,EIS,Y,A,M,100,100,100,100,100,100,100,100
541019,HGINFRA,N,A,A,100,100,1,100,100,100,100,100
541006,ANGEL,Y,A,M,100,100,100,100,100,100,100,100
541005,KANCOTEA,Y,A,X,100,100,100,100,100,100,100,100
540980,YSL,Y,A,X,100,100,100,100,100,100,100,100
540975,ASTERDM,N,A,A,100,100,100,100,100,100,100,100
540961,SHIVAMILLS,N,A,B,100,100,100,100,100,100,100,100
540956,BHATIA,Y,A,T,100,100,100,100,100,100,100,100
540955,TDSL,Y,A,B,100,100,1,100,100,100,100,100
540954,IWP,Y,A,X,100,100,100,100,100,100,100,100
540953,KENVI,Y,A,M,100,100,100,100,100,100,100,100
540952,LAL,Y,A,M,100,100,100,100,100,100,100,100
540945,FSSPL,Y,S,M,100,100,100,100,100,100,100,100
540938,GUJHYSPIN,Y,A,M,100,100,1,100,100,100,100,100
540937,MEDICO,Y,A,M,100,100,1,100,100,100,100,100
540936,GGL,Y,A,B,100,100,100,100,100,100,100,100
540935,GALAXYSURF,N,A,A,100,100,100,100,100,100,100,100
540923,AML,Y,A,M,100,100,1,100,100,100,100,100
540914,SRUSTEELS,Y,A,XT,0,100,100,100,100,100,100,100
540904,TIRUFOAM,Y,A,X,100,100,100,100,100,100,100,100
540903,CRPRISK,Y,S,MT,100,100,100,100,100,100,100,100
540902,AMBER,N,A,A,100,100,100,100,100,100,100,100
540901,PRAXIS,N,A,T,100,100,100,100,100,100,100,100
540900,NEWGEN,N,A,A,100,100,1,100,100,100,100,100
540879,APOLLO,N,A,B,100,100,100,100,100,100,100,100
540874,7SEASL,Y,A,X,100,100,100,100,100,100,100,100
540850,JFL,Y,A,M,100,100,1,100,100,100,100,100
540843,RITHWIKFMS,Y,A,M,100,100,100,100,100,100,100,100
540829,CHANDRIMA,Y,A,X,0,100,100,100,100,100,100,100
540824,ASTRON,N,A,B,100,100,100,100,100,100,100,100
540823,VITESSE,Y,A,XT,100,100,100,100,100,100,100,100
540821,SADHNA,Y,A,X,100,100,100,100,100,100,100,100
540812,KMSL,Y,S,MT,100,100,100,100,100,100,100,100
540811,DML,Y,A,M,100,100,1,100,100,100,100,100
540809,MRCEXIM,Y,A,M,100,100,1,100,100,100,100,100
540798,FSC,N,A,B,100,100,1,100,100,100,100,100
540797,SHALBY,N,A,B,100,100,100,100,100,100,100,100
540796,RATNABHUMI,Y,A,B,100,100,100,100,100,100,100,100
540795,DYNAMIC,Y,A,B,100,100,100,100,100,100,100,100
540790,EASTERNGAS,Y,S,XT,100,100,100,0,100,100,100,100
540789,DNAMEDIA,N,A,B,0,100,100,100,100,100,100,100
540788,ASPIRA,Y,A,X,100,100,1,100,100,100,100,100
540786,SHARIKA,Y,A,B,100,100,100,100,1,100,100,100
540782,SBRANDS,Y,A,M,100,100,1,100,100,100,100,100
540777,HDFCLIFE,N,A,A,100,100,100,100,100,100,100,100
540776,5PAISA,N,A,B,100,100,100,100,100,100,100,100
540775,KHADIM,N,A,B,100,100,100,100,1,100,100,100
540774,IFGLEXPOR,N,A,B,100,100,100,100,100,100,100,100
540769,NIACL,N,A,A,100,100,100,100,100,100,100,100
540768,MAHLOG,N,A,A,100,100,100,100,100,100,100,100
